username,bio,location,target_population,locals_vs_diaspora,person_vs_organization,comments,source_consensus
LTC_Shoshani,official account of idf international spokesperson lieutenant colonel nadav shoshani,israel,1,1,1,,manual_resolution
IsraelinPH,official account of the embasssy of israel,manila,0,0,0,,manual_resolution
boaz_tal,living on the edge and enjoying it.,london,1,0,1,,manual_resolution
liberty667,"if you don’t believe in freedom for people you dislike you probably don’t believe in it at all-m.taibbi 
i'm an ambulance my pronouns are we/woo",children cannot consent,0,0,1,,manual_resolution
AlmostFamousUSA,just a chick who thinks men don’t belong in women’s sports covid started in a lab and that liberalism is a mental disease. i’m occasionally funny.,your dreams,2,2,2,,manual_resolution
Tawane_A,consultant|views are my own & don’t represent any institution/outlet. retweets ≠ endorsements.,nairobi |mogadishu,0,0,1,,manual_resolution
DuduLagziel,titles don't mean a thing. trust me i'm a phd. (,israel,1,0,1,,manual_resolution
TammyGanRos,i don't want clever conversation i never want to work that hard,,1,0,1,,manual_resolution
simon_schama,the past is never dead. it's not even past (faulkner) . historian writer art critic cook bbc presenter but not necessarily in that order,,0,0,1,,manual_resolution
HotBiMommy1,"a naughty mid 40s married bi mommy...
trying to be myself hope you find it sexy",israel,1,1,1,,manual_resolution
ProjectLincoln,"""you cannot escape the responsibility of tomorrow by evading it today.” – abraham lincoln",the united states of america,0,0,0,,manual_resolution
yuvadm,in the words of archimedes give me a long enough lever and a place to rest it - or i will kill one hostage every hour.,127.0.0.1,1,0,1,,manual_resolution
elcoconut12,vine a reírme de cuánto soroco hay acá!!! buuu soy el coco,tel aviv,2,2,2,,manual_resolution
GOsatinsky,"7 ימים ידיעות אחרונות
|
לשעבר 'המקור'
guy-as@yedioth.co.il",,1,1,1,,manual_resolution
kipodist,גבר שמנמן וקוצני עם זין קטן,israel,2,2,2,,manual_resolution
danielamram3,independent journalist | israel | politics | exposing scams | shaming violence | daniel amram uncensored,united states,1,0,1,,manual_resolution
erikb0305,,ישראל,1,1,1,,manual_resolution
michellexgolden,צוכה בוחקת,21,0,0,1,,manual_resolution
goodhertz,modern interfaces excellent audio,los angeles ca,0,0,0,,manual_resolution
aaddams,האזין פעם לפודקסט של שעתיים וחצי על מברשות שיניים חשמליות. כותב סדרות למגירה,,1,1,1,,manual_resolution
shimonba,cmo & co-founder at,mars,1,1,1,,manual_resolution
ALLMEP,the alliance for middle east peace is a network of over 160 ngos conducting peacebuilding between israelis and palestinians. rt≠endorsement,washington dc,0,0,0,חברה לארגון שלופ נמצאת בארצות הברית,auto_agree
rachsieg,covering the federal reserve and economy for,washington dc,0,0,1,מסקרת את כלכלת ארצות הברית לשעבר,auto_agree
RaabTalia,proud & unapologetically jewish. educator activist and content creator. speaking up for israel and the jewish people.,israel,1,1,1,תהילה מישראל,auto_agree
MOhadIsrael,"محلل وصحفي مستقل بالجيروزاليم بوست.
خبروني عالخاص.

freelance analyst & writer for",jerusalem israel,1,1,1,,auto_agree
onejewishstate,a think tank advancing the case for israeli sovereignty over judea & samaria. founded by,israel,1,1,1,,auto_agree
NoaShpigel,correspondent for,israel,1,1,1,נועה משיראל,auto_agree
omdimbeyachad,תנועה יהודית-ערבית לשלום שוויון וצדק חברתי حراك يهودى-عربي للسلام، مساواة وعدالة اجتماعية jewish-arab movement for peace equality & social justice in israel,,1,1,1,,auto_agree
mikispitzer,"landscape photographer.
 writer for",israel,1,1,1,צלם ישראלי שגר בישראל,auto_agree
IsraelTrthPrjkt,championing truth | defending israel | countering misinformation | advocates for peace justice & clarity in the narrative | facts over fiction |,,1,1,0,חברה לקידום האמת,auto_agree
haimetgarr,journalist ch 12 israel tv host     columnist for maariv,,1,1,1,חיים אתגר,auto_agree
AIPAC,strengthening bipartisan support for the u.s.-israel relationship.,,0,0,0,חברה פרו ישראלית באמריקה,auto_agree
Koral_hazan10,professional footballer for hapoel tel aviv & israel national team,,1,1,1,ישראלית,auto_agree
LionsOfZion_ORG,supporting israel and jewish communities worldwide. promoting peace combating falsehoods and spreading the truth. join us in uniting voices for israel.,,1,1,1,ישראלי שגר בישראל,auto_agree
vanola1,social media is the platform for sharing individual's knowledge,israel,1,1,1,ישראלי שגר בישראל,auto_agree
MavIsrael,a non-profit organization of israeli women activists dedicated to ending the occupation. we advocate for peace non-violence and a democratic israel.,israel,1,1,0,חברה ישראלית,auto_agree
AlfiGuri,basson player for events and bar mitzvahs,israel-la-ramat gan-respect,1,1,1,גורי אלפי,auto_agree
JISS_Israel,the jerusalem institute for strategy and security (jiss) is a think tank that offers security expertise for a strong israel and united jerusalem.,jerusalem israel,1,1,0,המכון הירושלמי לענייני אסטרטגיה וביטחון,auto_agree
KnessetENG,updates from israel’s parliament. for informative purposes only not as a substitute for official statements by the knesset or its units. rt /= endorsements,jerusalem israel,1,1,0,הכנסת,auto_agree
AdamHoffm,researcher at the center for political research,jerusalem israel,1,1,1,ישראלי שגר בישראל,auto_agree
acri_online,"association for civil rights in israel (acri)

stay up-to-tweet with israel's oldest and largest human rights ngo.",israel,1,1,0,האגודה לזכויות האזרח בישראל,auto_agree
libby_alon,us correspondent for,israel,1,1,1,כתבת ישראלית,auto_agree
Hadash_org,"חד''ש - החזית הדמוקרטית לשלום ושוויון 
hadash - democratic front for peace and equality",israel,1,1,0,חברה למען דמוקרטיה בארץ,auto_agree
omerdos,phd | spokesperson for the israeli prime minister,israel,1,1,1,ישראלי שגר בישראל,auto_agree
RegavimEng,regavim is a social movement established to promote a zionist agenda for the state of israel and to protect its resources,israel,1,1,0,תנועה חברתית בישראל,auto_agree
YaronDeckel,regional director for canada the jewish agency,israel,1,1,1,ישראלי שגר בישראל,auto_agree
EuropeanPan,unapologetically pro-european. promoting the defence of our civilization and advancing a new spirit of european pride!,europe,0,0,0,ארגון אירופי,auto_agree
RapaportShani,diplomat head of,new delhi india,1,0,1,ישראלית שגרה בהודו(דיפלומטית),auto_agree
Chaimico,investing in a new generation of start-ups that are plugging online technologies into physical processes and experiences.,tel aviv,1,1,1,ישראלי שגר בישראל,auto_agree
Czar_9_0,zionist ultranationalist,kingdom of new jerusalem,1,1,1,ישראלי שגר בישראל,auto_agree
aviadsanders,"יהודי- jew. 
רמ במדרשת לינדנבאום. 
נשוי +4
עשיתי לי סימן על המצח שאני משוגע (רב נחמן שם). מחלק טבק בבית כנסת.",,1,1,1,ישראלי שגר בישראל,auto_agree
yosgalin02,a jew from jerusalem,jerusalem,1,1,1,ישראלי שגר בישראל,auto_agree
EitanChitayat,jew,tel aviv,1,1,1,ישראלי שגר בישראל,auto_agree
dip3206,observant jew. proud supporter of israel. father of 6.,,0,0,1,אמריקאי,auto_agree
skjask,woman with many causes writer jew israeli fighter of extremism. born in exile. cofounder,israel,1,1,1,ישראלית שגרה בישראל,auto_agree
soren_iverson,new ideas daily. building,los angeles ca,0,0,1,אמריקאי,auto_agree
zoharu,owner of zohar urian marketing in love with dodo,israel,1,1,1,ישראלי שגר בישראל,auto_agree
ailai1234462,dont love what you see love what yoy feel,israel!!!,1,1,1,ישראלית שגרה בישראל,auto_agree
zabesrm,spirited free thinking gal who isn’t offended by anything. patriot! love trump tucker & musk!! unapologetically love my country!!,scottsdale az,0,0,1,אמריקאית,auto_agree
Adrian081983276,climate optimistski helmet hater higher educated amsterdam beach ibiza and stubaier glacier lover just love life,amsterdam nederland,0,0,1,ספרדי,auto_agree
KaiSaikota,biggest simp in,i love my kamisitos,0,0,1,מאמריקה,auto_agree
Eretz_Nehederet,eretz nehederet (a wonderful country) is israel’s no.1 satire show.   למערכונים של ארץ נהדרת לחצו,,1,1,0,ערוץ טלוויזיה בישראל,auto_agree
OriKatz3,"no solutions only trade-offs.
the mechanical god:",israel,1,1,1,ישראלי שגר בישראל,auto_agree
IsraMum,"peace activist (but no useful idiot).
lawyer. angry. true",israel,1,1,1,ישראלי שגר בישראל,auto_agree
naomilster,is this it?,tel aviv,1,1,1,ישראלית שגרה בישראל,auto_agree
1liort,"""fugayzi fugazi. it's a wazi it's a woozi. it's fairy dust.""",world wide,1,1,1,ישראלי שגר בישראל,auto_agree
whyeden,it's a metaphor daddy,מנחה הפודקאסט כמעט מפורסמים,1,1,1,ישראלי שגר בישראל,auto_agree
msnrsh,peripheral exploration eternally externally internal i get it,jefferson ga,0,0,1,,auto_agree
AharoniNurit,it so good to be bad,,1,1,1,ישראלית שגרה בישראל,auto_agree
Daniella_Se19,hey it's me,ramat gan,1,1,1,ישראלית שגרה בישראל,auto_agree
awawawhoami,kitten (it/its) investigative journalist hacktivist columnist,st gallen switzerland,0,0,1,,auto_agree
Channel4,"channel 4 altogether different since 1982. 
difference starts conversations it makes us laugh makes us feel. it triggers change.",united kingdom,0,0,0,ערוץ לא ישראלי,auto_agree
p2c_star75,"| רודף שלום וצדק.פטריוט בכל רמח האיברים |
| 27 שנות ניסיון בעולם ה-it והסייבר |
| סוחר נאסד""ק מושבע | 
| יזם בתחום אנרגיות מתחדשות |",tel avivisrael,1,1,1,ישראלי שגר בישראל,auto_agree
Norod78,fooling around with generative machine learning models since before it became mainstream,,1,1,1,ישראלי שגר בישראל,auto_agree
Axjindar,"polyglot it security consultant
fullstack developer big data advertisement marketing debianist",root@se.krd,0,0,1,לא מישראל,auto_agree
____valkyrie,is it sad? sure. but it's a sadness i chose,,1,1,1,ישראלית שגרה בישראל,auto_agree
gjmrocker,hi i tweet about vtubers a lot that’s about it. vtuber clipper! sport teams: giants yankees devils knicks trojans!!,,2,2,2,משתמש לא נמצא ואין מספיק מידע,auto_agree
hagayalter,i find it very amusing,,1,1,1,ישראלי שגר בישראל,auto_agree
avniyayin,indie web dev | creator of perpetually forthcoming masterpieces | ai webdev game dev seo content | just rolling with it,pt-tlv israel,1,1,1,ישראלי שגר בישראל,auto_agree
reglash,author of parallel lines out now!! w/,israel,1,1,1,עורכת ראשית של jerusalem post,auto_agree
tulyweisz,mobilizing the faith community in support of israel and against evil.,beit shemesh israel,1,1,1,ישראלי שגר בישראל,auto_agree
Israel,the official x account of the state of israel (yes it’s really us) run by the,jerusalem israel,1,1,0,משתמש לא נמצא אך יש פרטים כאן,auto_agree
cabel_eitan,חכ״ל כבר לא יו״ר ועדת הכלכלה. מתגורר בראש העין נשוי לנועה ואב לארבע בנות. chairman of the economic affairs committee - labor party. living in rosh haayin,israel,1,1,1,ישראלי שגר בישראל,auto_agree
emmanuelnavon,scholar & practitioner of,israel,1,1,1,ישראלי שגר בישראל,auto_agree
drordvash,c.e.o of the local council of mitzpe ramon,israel,1,1,1,ישראלי שגר בישראל,auto_agree
LTCPeterLerner,director general of international relations,israel,1,1,1,ישראלי שגר בישראל,auto_agree
AmbDaniDayan,chairman of,israel,1,1,1,ישראלי שגר בישראל,auto_agree
SharrenHaskel,deputy minister of foreign affairs of the state of israel,israel,1,1,1,ישראלית שגרה בישראל,auto_agree
gantzbe,"נשוי לרויטל ואב ל-4 ילדים. שר הביטחון ה-21. הרמטכ״ל ה-20. יו״ר המחנה הממלכתי.israel's 21st minister of defense. 20th idf chief of staff. ""blue & white"" chairman",israel,1,1,1,בני גנץ,auto_agree
MattanyaCohen,head of latin america and the caribbean bureau at,israel,1,1,1,ישראלי שגר בישראל,auto_agree
hunkydory99,jidf • proud descendant of auschwitz survivor,israel,1,1,1,משתמש לא נמצא אך יש פה מספיק פרטים,auto_agree
BrianNReeves,director of strategic relations,israel,1,1,1,ישראלי שגר בישראל,auto_agree
zoharalon,startup addict; helping young entrepreneurs build great companies; some call me godfather of cspm w/,tel aviv israel,1,1,1,ישראלי שגר בישראל,auto_agree
leonidaltman,graphic designer / cg artist / creator of 'light wrangler' blender addon,israel,1,1,1,משתמש לא נמצא אך יש פה מספיק פרטים,auto_agree
wzo_official,the world zionist organization is committed to promoting zionist ideals and a love for israel as vital and positive elements of contemporary jewish life.,jerusalem israel,1,1,0,,manual_resolution
assaf_refugees,א.ס.ף - ארגון סיוע לפליטים ומבקשי מקלט בישראל | הגנה מעמד חוקי זכויות חברתיות וכלכליות לפליטים ולמבקשי מקלט בישראל | assaf aid ngo for refugees in israel,israel,1,1,0,,manual_resolution
homelandguards,citizens for clean energy and industry אזרחים לקידום אנרגיה נקיה ועצירת תעשיה מזהמת.,israel,1,1,0,,manual_resolution
TimesofIsrael,the one-stop news site for israel the region & the jewish world. follow,jerusalem israel,1,1,0,,manual_resolution
mountlevnon,advocating for a free maronite state committed to a mediterranean alliance with israel  cyprus and greece.,mount lebanon,0,0,0,,manual_resolution
AiroboticsUAV,"trusted autonomous drones. 
mission critical drone infrastructure for smart cities public safety defense hls and industrial services.",israel usa,1,1,0,,manual_resolution
CAMERAorg,camera - committee for accuracy in middle east reporting & analysis. media-monitoring & research. follows & rt ≠ endorsement.,usa & israel,1,1,0,,manual_resolution
AlonPinkas,cos/fp advisor to 1 pm & 4 of israel's best foreign ministers since 70ce. fmr. amb. consul general in ny. played for the arsenal 1979 fa cup final,tel aviv israel,1,1,1,,manual_resolution
hagigat1,"israel-china-ecuador-israel. sports (football athletics basketball) coffee and mobility
not the bs engineer you'd expect (well not an engineer for start",,1,1,1,,manual_resolution
IsraelinNewYork,the official twitter account of the consulate general of israel in new york,new york,1,0,0,,manual_resolution
CampusJewHate,influence academic institutions to oppose jew-hatred by exposing toxic anti-israel climate on their campuses.,manhattan ny,0,0,0,,manual_resolution
PosenIzzy,british jew. 'small c' british conservatism. europhile. pro-natalism. yiddish/hebrew translator/researcher. maths/physics tutor.,london england,0,0,1,,manual_resolution
Asher_Senor,american israeli jew.,,1,0,1,,manual_resolution
evagideoncross,"kindle unlimited professional and pole dance enthusiast
jew/zionist",,2,2,2,,manual_resolution
DrJackBor,latino-jew. columbia university educated psychologist. certificate in bilingual and latino mental health.,,2,2,1,,manual_resolution
AOC,us congresswoman ny-14. in a modern moral and wealthy society no american should be too poor to live. people-funded takes no lobbyist,bronx + queens nyc,0,0,0,,manual_resolution
maxkrasny,it always seems impossible until it’s done. mokka founder (ai for talent teams). gett intel capital alum.,nyc,2,2,2,,manual_resolution
TENml32,sports is my love !!!,,0,0,1,,manual_resolution
ColIaboRational,"world is complicated wanting it to be simple doesn't make it simple. 

['likes' and rts not necessarily endorsements just interesting in some way]",,2,2,2,,manual_resolution
KobbiShoshani,consul general of israel to midwest india mumbai. married + 3 tedx speakertennis lover  amateur astronomer (dreamer).,mumbai,1,1,1,,manual_resolution
Golan_yarden,personal account. former chief of staff to israel’s minister of strategic affairs and,israel,1,0,1,,manual_resolution
fcpii_official,"تبلیغ و احیای دوستی بین مردم ایران و اسرائیل و پیکار با یهودستیزی
promoting friendship between the people of iran & israel and fighting against antisemitism",tehran iran,0,0,0,,manual_resolution
Robiiin_Hoodx,think of nothing but fighting,israel,1,1,1,,manual_resolution
IditAbu,ambassador of israel to belgium and luxembourg,,1,0,1,,manual_resolution
AmbAlKhaja,ambassador of the united arab emirates to israel,,0,0,1,,manual_resolution
HRM_Israel,מגנים על זכויות פליטים מהגרי עבודה וקורבנות סחר בישראל. safeguarding the rights of refugees migrants and victims of human trafficking in israel.,tel aviv israel,1,1,0,,manual_resolution
ILMissionVienna,permanent mission of israel to the un osce & intern. organizations in vienna. bilateral:,,1,1,0,,manual_resolution
